SCORE,DATE,D0,D1,D2,D3,D4,NA_COUNT,W0,W1,W2,W3,W4
0,year_688,0,0,0,0,0,0,100,100,62.2,7,0
0,year_689,0,0,0,0,0,0,100,96.9,86.9,69,36.3
17.7,year_690,4.4,0,0,0,0,0,77.9,35,1.1,0,0
0,year_691,0,0,0,0,0,0,100,87.4,51.4,0,0
31.8,year_692,0,0,0,0,0,0,68.3,36.2,20.5,5.9,0
2,year_693,0,0,0,0,0,0,97.9,82.4,14.3,0,0
91.8,year_694,8.2,0,0,0,0,0,0,0,0,0,0
24.3,year_695,0,0,0,0,0,0,75.7,38.7,1.1,0,0
66,year_696,0,0,0,0,0,0,34,0,0,0,0
69.3,year_697,30.6,17,3.7,0,0,0,0,0,0,0,0
87.4,year_698,12.6,0,0,0,0,0,0,0,0,0,0
15.3,year_699,84.6,65.7,36.8,17.9,1.3,0,0,0,0,0,0
22.1,year_700,77.9,21.2,0,0,0,0,0,0,0,0,0
48.7,year_701,51.4,8.4,1,0,0,0,0,0,0,0,0
92.3,year_702,7.7,0,0,0,0,0,0,0,0,0,0
100,year_703,0,0,0,0,0,0,0,0,0,0,0
0,year_704,100.1,92.2,82.5,45.5,0,0,0,0,0,0,0
62.5,year_705,36.2,3.3,0,0,0,0,1.2,0,0,0,0
0.1,year_706,100,93.6,64.7,0,0,0,0,0,0,0,0
0,year_707,100,100,81.9,27.3,0,0,0,0,0,0,0
79.7,year_708,0.2,0,0,0,0,0,20.2,0,0,0,0
1.1,year_709,98.9,69.3,3.2,0,0,0,0,0,0,0,0
6.5,year_710,0,0,0,0,0,0,93.4,1.1,0,0,0
79,year_711,4.5,0,0,0,0,0,16.5,0,0,0,0
18.4,year_712,81.6,42.8,6.5,0,0,0,0,0,0,0,0
88.9,year_713,11.1,0,0,0,0,0,0,0,0,0,0
15.3,year_714,0,0,0,0,0,0,84.7,0,0,0,0
50.9,year_715,0,0,0,0,0,0,49.1,0,0,0,0
71.5,year_716,28.4,2,0,0,0,0,0.1,0,0,0,0
5.2,year_717,94.8,74.1,2.2,0,0,0,0,0,0,0,0
47.1,year_718,44.5,12.4,0,0,0,0,8.4,3.1,0,0,0
68.5,year_719,0,0,0,0,0,0,31.5,5.6,0,0,0
52.9,year_720,6.7,0,0,0,0,0,40.5,13.5,0,0,0
66.9,year_721,0,0,0,0,0,0,33.1,0.1,0,0,0
51.2,year_722,37.4,0,0,0,0,0,11.4,0,0,0,0
54.1,year_723,22.1,4.5,0,0,0,0,23.8,9.2,0,0,0
